"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","0.33uf","~","","1",""
"C2","0.1uf","~","","1",""
"C3","10uf","~","Capacitor_SMD:C_0805_2012Metric","1",""
"C4,C5,C6","0.01uf","~","","3",""
"D1","LED red","~","","1",""
"J1","编程接口_01x03_Pin","~","","1",""
"J2","Conn_Cool_Fan_Pin","~","","1",""
"J3","MCU ISP","~","","1",""
"J4","Conn_encoder_Pin","~","","1",""
"M1","Fan_4pin","http://www.formfactors.org/developer%5Cspecs%5Crev1_2_public.pdf","","1",""
"Q1","SI2302DS NMOS","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs","","1",""
"R1","3.3K","~","","1",""
"R3,R4,R5,R6","10K","~","","4",""
"SW1","EC11","~","","1",""
"U1","STC15F104E-SOP8","http://www.stcmcudata.com/datasheet/stc/STC-AD-PDF/STC15-English.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U2","L78L05_TO92","http://www.st.com/content/ccc/resource/technical/document/datasheet/15/55/e5/aa/23/5b/43/fd/CD00000446.pdf/files/CD00000446.pdf/jcr:content/translations/en.CD00000446.pdf","Package_TO_SOT_THT:TO-92_Inline","1",""
